name,sac_scale,surface,trail_visibility,bicycle,horse,wheelchair,dog,stroller
PR17,1.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
Levada do Risco,0.0,2.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,0.0,2,2,0,1,0
Benton MacKaye Trail,0.0,2.0,1.0,2,2,0,1,0
Jacks Knob,1.0,-1.0,0.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
DOBRA Trail,0.0,2.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Okura Ridge,1.0,-1.0,0.0,2,2,0,1,0
West Rim Loop Trail,1.0,1.0,0.0,2,2,0,1,0
Cherokee Falls,0.0,2.0,1.0,2,2,0,1,0
Sitton's Gulch Trail,0.0,2.0,1.0,2,2,0,1,0
Calzada Dehesa Boyal,1.0,-1.0,1.0,2,2,0,1,0
Levada do Norte,0.0,-1.0,1.0,2,2,0,1,0
SL3,1.0,-1.0,1.0,2,2,0,1,0
Chimaera Path Likya Yolu 11.01,0.0,2.0,0.0,2,2,0,1,0
Sendero Colada de La Costa,2.0,-1.0,1.0,2,2,0,1,0
Atalante Trail,1.0,2.0,1.0,2,2,0,1,0
Aphrodite trail,1.0,2.0,1.0,2,2,0,1,0
Border Trail,0.0,2.0,0.0,2,2,0,1,0
Order of the Arrow Trail,0.0,-1.0,0.0,2,2,0,1,0
Lakeside Trail South,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail North,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail North,0.0,0.0,1.0,2,2,0,1,0
Nature Trail,0.0,-1.0,1.0,2,2,0,1,0
Likya Yolu 11.01,0.0,2.0,1.0,2,2,0,1,0
Siphon Draw Trail,3.0,-1.0,1.0,2,2,0,1,0
Ponta de São Lourenco,0.0,2.0,1.0,2,2,0,1,0
火口見学道,0.0,0.0,1.0,2,2,0,1,0
Likya Yolu 12.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.01,1.0,3.0,1.0,2,2,0,1,0
Likya Yolu 12.12,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 13.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 10.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu,0.0,1.0,1.0,2,2,0,1,0
Likya Yolu 10.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 11.03,1.0,-1.0,1.0,2,2,0,1,0
Levada do Furado,0.0,0.0,1.0,2,2,0,1,0
Levada do Furado,0.0,2.0,1.0,2,2,0,1,0
Palisades Trail #99,1.0,2.0,1.0,1,1,0,1,0
White House Road,0.0,0.0,1.0,2,2,0,1,0
Lakeside Trail North,0.0,-1.0,1.0,2,2,0,1,0
Group Camping Detour,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail South,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail South,0.0,-1.0,1.0,2,2,0,1,0
Pine Ridge Trail,0.0,-1.0,1.0,2,2,0,1,0
P. R. Connector,0.0,-1.0,1.0,2,2,0,1,0
Secret Creek Trail,0.0,-1.0,1.0,2,2,0,1,0
High Desert Trail (blue),1.0,2.0,1.0,2,2,0,1,0
Joedy's Trail (yellow),1.0,2.0,1.0,2,2,0,1,0
High Desert Trail (blue),1.0,2.0,1.0,2,2,0,1,0
High Desert Trail (blue),1.0,2.0,1.0,2,2,0,1,0
High Desert Trail (blue),1.0,2.0,1.0,2,2,0,1,0
国道405号（点線国道）,0.0,-1.0,0.0,2,2,0,1,0
Likya Yolu 5.03,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 4.02,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 5.03,0.0,2.0,1.0,2,2,0,1,0
Blackjack Trail (568),1.0,-1.0,1.0,1,1,0,1,0
Landview Road,0.0,-1.0,1.0,2,2,0,1,0
Falling Rock,1.0,-1.0,1.0,2,2,0,1,0
Art Loeb Trail,1.0,2.0,1.0,2,2,0,1,0
Nahal Katia Trail,1.0,-1.0,1.0,2,2,0,1,0
Levada das 25 Fontes,0.0,2.0,1.0,2,2,0,1,0
Yoshida & Subashiri Trail [Descent] (Bulldozer Road),4.0,-1.0,1.0,2,2,0,1,0
River Trail,0.0,-1.0,1.0,2,2,0,1,0
Bright Angel Suspension Bridge,0.0,-1.0,1.0,2,2,0,1,0
Redwall Bridge,1.0,-1.0,1.0,1,1,0,1,0
Ribbon Falls Trail,1.0,-1.0,1.0,2,2,0,1,0
North Kaibab Trail,1.0,-1.0,1.0,1,1,0,1,0
Yoshida Trail & Subashiri Trail,4.0,-1.0,1.0,2,2,0,1,0
Mount Mitchell Summit Trail,1.0,0.0,0.0,2,2,0,1,0
Running Cedar Road,0.0,2.0,1.0,2,2,0,1,0
Rocky Cove Road,0.0,1.0,1.0,2,2,0,1,0
Wesley Branch Trail,0.0,2.0,1.0,2,2,0,1,0
Mountains to Sea Connector Trail,0.0,-1.0,1.0,2,2,0,1,0
矢田丘陵遊歩道,1.0,-1.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Mountain Creek Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Placid Hiking Trail,0.0,2.0,1.0,2,2,0,1,0
Levada do Caldeirão do Inferno,0.0,2.0,0.0,2,2,0,1,0
Trail to Ganda La,0.0,2.0,1.0,2,2,0,1,0
low water shortcut,0.0,-1.0,1.0,2,2,0,1,0
Güzeller Cadde,0.0,-1.0,1.0,2,2,0,1,0
Caminho dos Tis,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
日本庭園遊歩道,0.0,-1.0,1.0,2,2,0,1,0
こもれびの径,0.0,-1.0,1.0,2,2,0,1,0
こもれびの径,0.0,-1.0,1.0,2,2,0,1,0
こもれびの径,0.0,-1.0,1.0,2,2,0,1,0
South Crest Trail (130),1.0,2.0,0.0,1,1,0,1,0
Likya Yolu 12.11,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.11,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.12,1.0,1.0,1.0,2,2,0,1,0
PR13 Vereda do Fanal,0.0,2.0,1.0,2,2,0,1,0
Levada da Serra do Faial,0.0,2.0,1.0,2,2,0,1,0
SL8,0.0,-1.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
River Otter Way,0.0,1.0,1.0,2,2,0,1,0
Flat Tail Trail,0.0,2.0,1.0,2,2,0,1,0
Woodie Walk,0.0,2.0,1.0,2,2,0,1,0
Woodie Walk,0.0,-1.0,1.0,2,2,0,1,0
Sparkleberry Connector,0.0,0.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,0.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,0.0,1.0,2,2,0,1,0
Stone House Spur,0.0,0.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,0.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,2.0,1.0,2,2,0,1,0
Flat Tail Trail,0.0,2.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,0.0,1.0,2,2,0,1,0
Lake Conestee Nature Trail,0.0,2.0,1.0,2,2,0,1,0
Froggy Bottom Link,0.0,2.0,1.0,2,2,0,1,0
River Otter Way,0.0,2.0,1.0,2,2,0,1,0
Flat Tail Trail,0.0,2.0,1.0,2,2,0,1,0
White Tail Trail,0.0,2.0,1.0,2,2,0,1,0
Heron Spur,0.0,2.0,1.0,2,2,0,1,0
River Otter Way,0.0,1.0,1.0,2,2,0,1,0
Chickadee Link,0.0,2.0,1.0,2,2,0,1,0
Ruta Cruz de la Mission,1.0,-1.0,1.0,2,2,0,1,0
Ruta de las Canadas (Verde),1.0,-1.0,1.0,2,2,0,1,0
Ruta de las Canadas (Verde),1.0,3.0,1.0,2,2,0,1,0
Ruta de Puerto Málaga (Azul Oscuro),1.0,2.0,1.0,2,2,0,1,0
Variante al Pto. de Málaga,1.0,-1.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
Paseo Pinsapo,1.0,-1.0,1.0,2,2,0,1,0
Lİkya Yolu 10.01,0.0,-1.0,1.0,2,2,0,1,0
South Rim Trail,0.0,0.0,1.0,2,2,0,1,0
North Rim Trail,1.0,-1.0,1.0,2,2,0,1,0
Lewis Park Trail,0.0,-1.0,1.0,2,2,0,1,0
Lewis Park Trail,0.0,-1.0,1.0,2,2,0,1,0
Lewis Park Trail,0.0,-1.0,1.0,2,2,0,1,0
Lewis Park Trail,0.0,-1.0,1.0,2,2,0,1,0
Daedeok Science Path 1,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,1.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,1.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,1.0,2.0,1.0,2,2,0,1,0
